"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,3,1,47,0.758521423545129,4.30044283848646,20,75,NA,0,16,-3.54192141494133,0
"fbyj5j85",2,3,1,48,0.758521423545129,4.30044283848646,20,75,NA,0,16,-3.54192141494133,0
"fbyj5j85",2,3,1,49,1.57535474997693,5.66950741929915,75,75,75,1,17,-4.09415266932222,0
"fbyj5j85",2,3,1,50,1.57535474997693,4.66950741929915,75,75,75,1,18,-3.09415266932222,0
"fbyj5j85",2,3,1,51,0.750936209309677,2.81151514282444,20,77,NA,0,18,-2.06057893351476,0
"fbyj5j85",2,3,1,52,0.758521423545129,3.54192141494133,20,75,NA,0,18,-2.7833999913962,0
"fbyj5j85",2,3,1,53,0.762342714347104,3.69947324349514,20,74,NA,0,18,-2.93713052914804,0
"fbyj5j85",2,3,1,54,1.58116641411811,4.852769199301,74,74,74,1,19,-3.27160278518289,0
"fbyj5j85",2,3,1,55,1.5213546325968,4.00094396493987,35,75,NA,0,19,-2.47958933234307,0
"fbyj5j85",2,3,1,56,1.5213546325968,4.00094396493987,35,75,NA,0,19,-2.47958933234307,0
"fbyj5j85",2,3,1,57,0.758521423545129,3.71044867369121,20,75,NA,0,19,-2.95192725014608,0
"fbyj5j85",2,3,1,58,0,4.8916860599,NA,75,NA,0,19,-4.8916860599,0
"fbyj5j85",2,3,1,59,0.904382075008804,4.423953189144,55,75,NA,0,19,-3.5195711141352,0
"fbyj5j85",2,3,1,60,0.904382075008804,4.423953189144,55,75,NA,0,19,-3.5195711141352,0
"fbyj5j85",2,3,1,61,0.904382075008804,4.423953189144,55,75,NA,0,19,-3.5195711141352,0
"fbyj5j85",2,3,1,62,0.904382075008804,4.423953189144,55,75,NA,0,19,-3.5195711141352,0
"fbyj5j85",2,3,1,63,0.904382075008804,4.423953189144,55,75,NA,0,19,-3.5195711141352,0
"fbyj5j85",2,3,1,64,0.913517247483641,5.29323090473621,55,73,NA,0,19,-4.37971365725257,0
"fbyj5j85",2,3,1,65,0.913517247483641,4.39789265047749,55,73,NA,0,19,-3.48437540299385,0
"fbyj5j85",2,3,1,66,0.927393311729866,5.25948276932882,55,70,NA,0,19,-4.33208945759895,0
"fbyj5j85",2,3,1,67,0.927393311729866,4.42076488171727,55,70,NA,0,19,-3.4933715699874,0
"fbyj5j85",2,3,1,68,0.927393311729866,4.42076488171727,55,70,NA,0,19,-3.4933715699874,0
"fbyj5j85",2,3,1,69,2.86005835464129,4.76687164529063,70,70,70,1,20,-1.90681329064934,0
